Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
9RRZD6Z7	journalArticle	2022	"Abdubrani, Rafiuddin; Zahari, Zarith Liyana"	Enhanced Modified Z-Score-Based EEG Signal Preprocessing for Driver Fatigue Classification Using a DBN-LSTM Hybrid Deep Learning Model						"This study presents a method for driver fatigue detection using EEG signals, combining an enhanced modified Z-score-based preprocessing technique with a hybrid deep learning model that integrates Deep Belief Networks (DBN) and Long Short-Term Memory (LSTM) networks. The enhanced modified Z-score preprocessing method effectively reduces noise and outliers in EEG data, significantly improving the quality of features for fatigue classification. The DBN component is used for unsupervised feature extraction, while the LSTM component captures temporal dependencies in the data, enhancing the accuracy of the model. Experimental results showed that the proposed model achieved an overall accuracy of 82.41%, a specificity of 65.10%, and an F1score of 84.90%, indicating robust performance in classifying different driver fatigue states. These findings demonstrate that the DBN-LSTM hybrid model, combined with the enhanced preprocessing technique, offers a promising solution for real-time driver fatigue detection, with potential applications in critical areas such as driver monitoring systems and industrial safety."	2022	5/20/2025 12:34	5/24/2025 12:33				2	3										en					Zotero				C:\Users\LATITUDE E7470\Zotero\storage\UJT6ZB95\Abdubrani and Zahari - 2022 - Enhanced Modified Z-Score-Based EEG Signal Preprocessing for Driver Fatigue Classification Using a D.pdf		INCLUDED																																															
D3VACLT6	journalArticle	2022	"Mu, Zhendong; Jin, Ling; Yin, Jinghai; Wang, Qingjun"	Research on a Driver Fatigue Detection Model Based on Image Processing	Human-centric Computing and Information Sciences			10.22967/HCIS.2022.12.017	https://doi.org/10.22967/HCIS.2022.12.017	"In recent years, the continuous increase of private car ownership has led to an ever increasing number of road traffic accidents caused by driver fatigue. This paper, which is focused on image processing technology and research on driver fatigue, proposes a driver fatigue detection model based on image processing, and introduces various methods of identifying driver fatigue. It also discusses various algorithms, such as the Hough transform, AdaBoost, and PERCLOS algorithms, which can recognize a driver’s eyes and skin color. The experimental section of this paper explains the proposed driver fatigue detection model in many aspects. The analysis section analyzes eye closure detection, PERCLOS detection, and detection rate with regard to different algorithms used to detect driver behavior, the influence of spectacles on detection, and the success rate of different algorithms under different degrees of illumination. The PERCLOS value of the tester obtained in the “awakened” state is significantly smaller than the PERCLOS value obtained in the “fatigued” state. For example, the value of Tester 1 in time period 1 is 0.173 when awake, and the value in the same time period when fatigued is 0.523. The change in the percentage of eye closure is closely related to the degree of fatigue of the human body, and usually shows a positive correlation. Comprehensive analysis shows that the proposed image processing technology can effectively realize facial recognition. Therefore, the state of the driver’s eyes, limbs and other parts can be recognized by this technology, and the driver’s state of fatigue can be accurately assessed."	4/15/2022	5/20/2025 12:39	5/24/2025 12:20	5/20/2025 12:39	204-219		0	12										en					DOI.org (CSL JSON)				C:\Users\LATITUDE E7470\Zotero\storage\S6J5V4TT\Mu et al. - 2022 - Research on a Driver Fatigue Detection Model Based on Image Processing.pdf		INCLUDED																																															
GLJVPR3D	journalArticle	2022	"Jasim, Sarah S.; Abdul Hassan, Alia K.; Turner, Scott"	Driver Drowsiness Detection Using Gray Wolf Optimizer Based on Face and Eye Tracking	ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY		"2307-549X, 2410-9355"	10.14500/aro.10928	https://aro.koyauniversity.org/index.php/aro/article/view/928	"It is critical today to provide safe and collision-free transport. As a result, identifying the driver’s drowsiness before their capacity to drive is jeopardized. An automated hybrid drowsiness classification method that incorporates the artificial neural network (ANN) and the gray wolf optimizer (GWO) is presented to discriminate human drowsiness and fatigue for this aim. The proposed method is evaluated in alert and sleep-deprived settings on the driver drowsiness detection of video dataset from the National Tsing Hua University Computer Vision Lab. The video was subjected to various video and image processing techniques to detect the drivers’ eye condition. Four features of the eye were extracted to determine the condition of drowsiness, the percentage of eyelid closure (PERCLOS), blink frequency, maximum closure duration of the eyes, and eye aspect ratio (ARE). These parameters were then integrated into an ANN and combined with the proposed method (gray wolf optimizer with ANN [GWOANN]) for drowsiness classification. The accuracy of these models was calculated, and the results demonstrate that the proposed method is the best. An Adadelta optimizer with 3 and 4 hidden layer networks of (13, 9, 7, and 5) and (200, 150, 100, 50, and 25) neurons was utilized. The GWOANN technique had 91.18% and 97.06% accuracy, whereas the ANN model had 82.35% and 86.76%."	5/5/2022	5/20/2025 12:39	5/24/2025 12:24	5/20/2025 12:39	49-56		1	10		ARO								en	https://creativecommons.org/licenses/by-nc-sa/4.0				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\VSUDSYV5\Jasim et al. - 2022 - Driver Drowsiness Detection Using Gray Wolf Optimizer Based on Face and Eye Tracking.pdf		INCLUDED																																															
U26NW9I2	journalArticle	2024	"Jose, Jomin; J, Andrew; Raimond, Kumudha; Vincent, Shweta; Eunice R, Jennifer"	SleepyWheels: An ensemble model for drowsiness detection leading to accident prevention	Journal of Autonomous Intelligence		2630-5046	10.32629/jai.v7i3.1117	https://jai.front-sci.com/index.php/jai/article/view/1117	"Around 40% of accidents related to driving on highways in India occur due to the driver falling asleep behind the steering wheel. Several researches are ongoing to detect driver drowsiness but they suffer with complexity and cost of the models. In this paper, SleepyWheels a revolutionary method that uses a lightweight neural network in conjunction with facial landmark identification is proposed to identify driver fatigue in real time. SleepyWheels is successful in a wide range of test scenarios, including the lack of facial characteristics while covering the eye or mouth, the drivers’ varying skin tones, camera placements, and the observational angles. It can works well when emulated to real time systems. SleepyWheels utilized EfficientNetV2 and facial landmark detector for identifying the drowsiness detection. The model is trained on a specially created dataset on driver sleepiness and it achieves an accuracy of 97%. The model is lightweight hence it can be further deployed as a mobile application for various platforms."	1/5/2024	5/20/2025 12:39	5/24/2025 12:22	5/20/2025 12:39			3	7		J Autonom Intell	SleepyWheels							en	https://creativecommons.org/licenses/by-nc/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\6NECLDRB\Jose et al. - 2024 - SleepyWheels An ensemble model for drowsiness detection leading to accident prevention.pdf		INCLUDED																																															
WCC83YGT	journalArticle	2024	"Hasan, Md.; Islam, Md.; Khandaker, Sayma; Sulaiman, Norizam; Islam, Ashraful; Hossain, Mirza"	Ensemble-based machine learning models for vehicle drivers’ fatigue state detection utilizing EEG signals	Facta universitatis - series: Electronics and Energetics		"0353-3670, 2217-5997"	10.2298/FUEE2404671H	https://doiserbia.nb.rs/Article.aspx?ID=0353-36702404671H	"Currently, there is a great extent of academic research focused on evaluating fatigue among drivers due to its growing recognition as a major contributor to vehicle tragedies. Combining advanced features and machine learning techniques, signals from the electroencephalogram (EEG) can be analyzed to efficiently detect fatigue in the shortest possible time. This study presents an innovative approach to detect driver fatigue states utilizing ensemble-based machine learning techniques from EEG signals. Two ensemble models (Ensemble-based RUSBoosted Decision Trees and Ensemblebased Random Subspace Discriminant) were applied and compared. The study utilized an online EEG dataset of 12 individuals, with data collected during normal and fatigued driving conditions and Fast Fourier Transform was applied for feature extraction. The Ensemble-based RUSBoosted Decision Trees model achieved superior performance with 98.53% classification accuracy, compared to 83.13% for the Random Subspace Discriminant model. Multiple performance metrics were used for evaluation model performance. Finally, the proposed Ensemble-based RUSBoosted Decision Trees model outperformed Ensemble-based Random Subspace Discriminant model and existing conventional methods for fatigue state detection. This research contributes to the development of more accurate and reliable fatigue detection systems, which could potentially improve road safety by identifying fatigued drivers in real-time."	2024	5/20/2025 12:40	5/24/2025 12:25	5/20/2025 12:40	671-686		4	37		Facta Univ Electron Energ								en	http://creativecommons.org/licenses/by-nc-nd/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\H4EZLWZM\Hasan et al. - 2024 - Ensemble-based machine learning models for vehicle drivers’ fatigue state detection utilizing EEG si.pdf		INCLUDED																																															
J8VZ5HEC	conferencePaper	2020	"Shen, Qi; Zhao, Shengjie; Zhang, Rongqing; Zhang, Bin"	Robust Two-Stream Multi-Features Network for Driver Drowsiness Detection	"Proceedings of the 2020 2nd International Conference on Robotics, Intelligent Control and Artificial Intelligence"	978-1-4503-8830-6		10.1145/3438872.3439093	https://dl.acm.org/doi/10.1145/3438872.3439093	"Drowsiness driving is a major cause of traffic accidents, and thus numerous previous researches have focused on driver drowsiness detection. Many drive relevant factors have been taken into consideration for fatigue detection. They can lead to high precision, but there are still several serious constraints, such as most existing models are environmentally susceptible. In this paper, fatigue detection is considered as a temporal action detection problem instead of image classification. The proposed detection system can be divided into four parts: (1) Localize the key patches of the detected driver facial picture for fatigue detection and calculate the corresponding optical flow. (2) Contrast Limited Adaptive Histogram Equalization (CLAHE) is used in our system to reduce the impact of different light conditions. (3) Three individual two-stream networks combined with 3D attention mechanism and 3D depthwise separable convolution are designed for each feature to extract temporal information. (4) The outputs of the three sub-networks will be concatenated and sent to the fully-connected network, which judges the status of the driver. The drowsiness detection system is trained and evaluated on the famous National Tsingua University Driver Drowsiness Detection (NTHU-DDD) dataset and we obtain an accuracy of 94.46%, which outperforms most existing fatigue detection models."	10/17/2020	5/20/2025 12:40	5/24/2025 12:17	5/20/2025 12:40	271-277											ACM	Shanghai China	en					DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\T4HXDUZ2\Shen et al. - 2020 - Robust Two-Stream Multi-Features Network for Driver Drowsiness Detection.pdf		INCLUDED																																"RICAI 2020: 2020 2nd International Conference on Robotics, Intelligent Control and Artificial Intelligence"															
48EA8WC4	journalArticle	2023	"Amity School of Engineering and Technology Lucknow, Amity University Uttar Pradesh, India; Adarsh, Gauri; Singh, Vineet; Amity School of Engineering and Technology Lucknow, Amity University Uttar Pradesh, India"	Drowsiness Detection System in Real Time Based on Behavioral Characteristics of Driver using Machine Learning Approach	Journal of Informatics Electrical and Electronics Engineering (JIEEE)		25827006	10.54060/jieee.v4i1.84	http://jieee.a2zjournals.com/index.php/ieee/article/view/84	"The process of determining if a person, generally a driver, is becoming sleepy or drowsy while performing a task such as driving is known as drowsiness detection. It is a necessary system for detecting and alerting drivers to their tiredness, which might impair their driving ability and lead to accidents. The project aims to create a reliable and efficient system capable of real-time detection of drowsiness using OpenCV, Dlib, and facial landmark detection technologies. The project's results show that the sleepiness detection method can accurately and precisely identify tiredness in real time. The technology is less intrusive and more economical than conventional sleepiness detection techniques. The system is based on a 68 facial landmark detector, which is a highly trained and effective detector capable of recognizing human face points. The detector aids in assessing whether the driver's eyes are closed or open. The system analyses the data collected by the detector using machine learning methods to discover patterns associated with drowsiness. When drowsiness is detected, the system incorporates a warning mechanism, such as an alarm or a vibration in the steering wheel, to notify the driver. A variety of studies with different drivers and driving conditions were used to evaluate the performance of the real-time driver drowsiness detection system. The results show that the technology can detect tiredness properly and deliver timely warnings to the driver. This method can assist in preventing drowsy driving incidents, enhancing road safety, and saving lives. The results indicated that the algorithm had an average accuracy rate of 94% for identifying tiredness in drivers."	2023	5/20/2025 12:40	5/24/2025 12:31	5/20/2025 12:40	10-Jan		1	4		J. Infor. Electr. Electron. Eng.								en					DOI.org (Crossref)				"C:\Users\LATITUDE E7470\Zotero\storage\E2MZBR9M\Amity School of Engineering and Technology Lucknow, Amity University Uttar Pradesh, India et al. - 2023 - Drowsiness Detection System in Real Time Based on Behavioral Characteristics of Driver using Machine.pdf"		INCLUDED																																															
DJAGM3C9	journalArticle	2022	"Gomaa, Mohamed; Mahmoud, Rasha; Sarhan, Amany"	A CNN-LSTM-based Deep Learning Approach for Driver Drowsiness Prediction	Journal of Engineering Research		2735-4873	10.21608/erjeng.2022.141514.1067	https://erjeng.journals.ekb.eg/article_257197.html	"The development of neural networks and machine learning techniques has recently been the cornerstone for many applications of artificial intelligence. These applications are now found in practically all aspects of our daily life. Predicting drowsiness is one of the most particularly valuable of artificial intelligence for reducing the rate of traffic accidents. According to earlier studies, drowsy driving is at responsible for 25 to 50% of all traffic accidents, which account for 1,200 deaths and 76,000 injuries annually. The goal of this research is to diminish car accidents caused by drowsy drivers. This research tests a number of popular deep learning-based models and presents a novel deep learning-based model for predicting driver drowsiness using a combination of convolutional neural networks (CNN) and LongShort-Term Memory (LSTM) to achieve results that are superior to those of state-of-the-art methods. Utilizing convolutional layers, CNN has excellent feature extraction abilities, whereas LSTM can learn sequential dependencies. The National Tsing Hua University (NTHU) driver drowsiness dataset is used to test the model and compare it to several other current models as well as state-of-the-art models. The proposed model outperformed state-of-the-art models, with results up to 98.30% for training accuracy and 97.31% for validation accuracy."	8/31/2022	5/20/2025 12:40	5/24/2025 12:25	5/20/2025 12:40	0-0		0	0		Journal of Engineering Research								en					DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\KKMEZQFR\Gomaa et al. - 2022 - A CNN-LSTM-based Deep Learning Approach for Driver Drowsiness Prediction.pdf		INCLUDED																																															
RSP7D4NR	journalArticle	2023	"Zheng, Han; Wang, Yiding; Liu, Xiaoming"	Adaptive Driver Face Feature Fatigue Detection Algorithm Research	Applied Sciences		2076-3417	10.3390/app13085074	https://www.mdpi.com/2076-3417/13/8/5074	"Fatigued driving is one of the leading causes of traf?c accidents, and detecting fatigued driving effectively is critical to improving driving safety. Given the variety and individual variability of the driving surroundings, the drivers’ states of weariness, and the uncertainty of the key characteristic factors, in this paper, we propose a deep-learning-based study of the MAX-MIN driver fatigue detection algorithm. First, the Shuf?eNet V2K16 neural network is used for driver face recognition, which eliminates the in?uence of poor environmental adaptability in fatigue detection; second, Shuf?eNet V2K16 is combined with Dlib to obtain the coordinates of driver face feature points; and ?nally, the values of EAR and MAR are obtained by comparing the ?rst 100 frames of images to EAR-MAX and MAR-MIN. Our proposed method achieves 98.8% precision, 90.2% recall, and 94.3% F-Score in the actual driving scenario application."	4/18/2023	5/20/2025 12:41	5/24/2025 12:13	5/20/2025 12:41	5074		8	13		Applied Sciences								en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\PHLPAKFP\Zheng et al. - 2023 - Adaptive Driver Face Feature Fatigue Detection Algorithm Research.pdf		INCLUDED																																															
WJFQN4NG	journalArticle	2024	"Essel, Ebenezer; Lacy, Fred; Albalooshi, Fatema; Elmedany, Wael; Ismail, Yasser"	Drowsiness Detection in Drivers Using Facial Feature Analysis	Applied Sciences		2076-3417	10.3390/app15010020	https://www.mdpi.com/2076-3417/15/1/20	"Drowsiness has been recognized as a leading factor in road accidents worldwide. Despite considerable research in this area, this paper aims to improve the precision of drowsiness detection specifically for long-haul travel by employing the Dlib-based facial feature detection algorithm. This study proposes two algorithms: a static and adaptive frame threshold. Both approaches utilize eye closure ratio (ECR) and mouth aperture ratio (MAR) parameters to determine the driver’s level of drowsiness. The static threshold method issues a warning when the ECR and/or MAR values reach specific thresholds. In this method, the ECR threshold is established at 0.15 and the MAR threshold at 0.4. The static threshold method demonstrated an accuracy of 89.4% and a sensitivity of 96.5% using 1000 images. The adaptive frame threshold algorithm uses a counter to monitor the number of consecutive frames that meet the drowsiness criteria before triggering a warning. Additionally, the number of consecutive frames required is adjusted dynamically over time to enhance detection accuracy and more accurately indicate a state of drowsiness. The adaptive frame threshold algorithm was tested using four 30 min videos, from a publicly available dataset achieving a maximum accuracy of 98.2% and a sensitivity of 64.3% with 500 images."	12/24/2024	5/20/2025 12:41	5/24/2025 12:26	5/20/2025 12:41	20		1	15		Applied Sciences								en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\YC3PE63X\Essel et al. - 2024 - Drowsiness Detection in Drivers Using Facial Feature Analysis.pdf		INCLUDED																																															
