key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-243088521,Enhanced Modified Z-Score-Based EEG Signal Preprocessing for Driver Fatigue Classification Using a DBN-LSTM Hybrid Deep Learning Model,2022,,,,,3,2,,"Abdubrani, Rafiuddin and Zahari, Zarith Liyana",,en,,,"This study presents a method for driver fatigue detection using EEG signals, combining an enhanced modified Z-score-based preprocessing technique with a hybrid deep learning model that integrates Deep Belief Networks (DBN) and Long Short-Term Memory (LSTM) networks. The enhanced modified Z-score preprocessing method effectively reduces noise and outliers in EEG data, significantly improving the quality of features for fatigue classification. The DBN component is used for unsupervised feature extraction, while the LSTM component captures temporal dependencies in the data, enhancing the accuracy of the model. Experimental results showed that the proposed model achieved an overall accuracy of 82.41%, a specificity of 65.10%, and an F1score of 84.90%, indicating robust performance in classifying different driver fatigue states. These findings demonstrate that the DBN-LSTM hybrid model, combined with the enhanced preprocessing technique, offers a promising solution for real-time driver fatigue detection, with potential applications in critical areas such as driver monitoring systems and industrial safety.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Hybrid"", ""Physiological"", ""F1-score reported"", ""Accuracy reported"", ""Specificity reported"", ""High Accuracy""]}",,,,
rayyan-243088522,Driver Drowsiness Detection and Tracking Based on Yolo with Haar Cascades and ERNN,2021,2,28,International Journal of Safety and Security Engineering,"20419031, 2041904X",11,1,35-42,"Amira, Belmekki Ghizlene and Zoulikha, Mekkakia Maaza and Hector, Pomares",http://www.iieta.org/journals/ijsse/paper/10.18280/ijsse.110104,en,,,,"RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | USER-NOTES: {""AJAYI""=>[""No abstract"", ""Insufficient Info""]}",10.18280/ijsse.110104,,,
rayyan-243088523,Research on a Driver Fatigue Detection Model Based on Image Processing,2022,4,15,Human-centric Computing and Information Sciences,,12,,204-219,"Mu, Zhendong and Jin, Ling and Yin, Jinghai and Wang, Qingjun",https://doi.org/10.22967/HCIS.2022.12.017,en,,,"In recent years, the continuous increase of private car ownership has led to an ever increasing number of road traffic accidents caused by driver fatigue. This paper, which is focused on image processing technology and research on driver fatigue, proposes a driver fatigue detection model based on image processing, and introduces various methods of identifying driver fatigue. It also discusses various algorithms, such as the Hough transform, AdaBoost, and PERCLOS algorithms, which can recognize a driver’s eyes and skin color. The experimental section of this paper explains the proposed driver fatigue detection model in many aspects. The analysis section analyzes eye closure detection, PERCLOS detection, and detection rate with regard to different algorithms used to detect driver behavior, the influence of spectacles on detection, and the success rate of different algorithms under different degrees of illumination. The PERCLOS value of the tester obtained in the “awakened” state is significantly smaller than the PERCLOS value obtained in the “fatigued” state. For example, the value of Tester 1 in time period 1 is 0.173 when awake, and the value in the same time period when fatigued is 0.523. The change in the percentage of eye closure is closely related to the degree of fatigue of the human body, and usually shows a positive correlation. Comprehensive analysis shows that the proposed image processing technology can effectively realize facial recognition. Therefore, the state of the driver’s eyes, limbs and other parts can be recognized by this technology, and the driver’s state of fatigue can be accurately assessed.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""Image Processing""]}",10.22967/HCIS.2022.12.017,,,
rayyan-243088524,Driver Drowsiness Detection Using Gray Wolf Optimizer Based on Face and Eye Tracking,2022,5,5,ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY,"2307-549X, 2410-9355",10,1,49-56,"Jasim, Sarah S. and Abdul Hassan, Alia K. and Turner, Scott",https://aro.koyauniversity.org/index.php/aro/article/view/928,en,,,"It is critical today to provide safe and collision-free transport. As a result, identifying the driver’s drowsiness before their capacity to drive is jeopardized. An automated hybrid drowsiness classification method that incorporates the artificial neural network (ANN) and the gray wolf optimizer (GWO) is presented to discriminate human drowsiness and fatigue for this aim. The proposed method is evaluated in alert and sleep-deprived settings on the driver drowsiness detection of video dataset from the National Tsing Hua University Computer Vision Lab. The video was subjected to various video and image processing techniques to detect the drivers’ eye condition. Four features of the eye were extracted to determine the condition of drowsiness, the percentage of eyelid closure (PERCLOS), blink frequency, maximum closure duration of the eyes, and eye aspect ratio (ARE). These parameters were then integrated into an ANN and combined with the proposed method (gray wolf optimizer with ANN [GWOANN]) for drowsiness classification. The accuracy of these models was calculated, and the results demonstrate that the proposed method is the best. An Adadelta optimizer with 3 and 4 hidden layer networks of (13, 9, 7, and 5) and (200, 150, 100, 50, and 25) neurons was utilized. The GWOANN technique had 91.18% and 97.06% accuracy, whereas the ANN model had 82.35% and 86.76%.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""Hybrid"", ""High Accuracy""]}",10.14500/aro.10928,,,
rayyan-243088525,SleepyWheels: An ensemble model for drowsiness detection leading to accident prevention,2024,1,5,Journal of Autonomous Intelligence,2630-5046,7,3,,"Jose, Jomin and J, Andrew and Raimond, Kumudha and Vincent, Shweta and Eunice R, Jennifer",https://jai.front-sci.com/index.php/jai/article/view/1117,en,,,"Around 40% of accidents related to driving on highways in India occur due to the driver falling asleep behind the steering wheel. Several researches are ongoing to detect driver drowsiness but they suffer with complexity and cost of the models. In this paper, SleepyWheels a revolutionary method that uses a lightweight neural network in conjunction with facial landmark identification is proposed to identify driver fatigue in real time. SleepyWheels is successful in a wide range of test scenarios, including the lack of facial characteristics while covering the eye or mouth, the drivers’ varying skin tones, camera placements, and the observational angles. It can works well when emulated to real time systems. SleepyWheels utilized EfficientNetV2 and facial landmark detector for identifying the drowsiness detection. The model is trained on a specially created dataset on driver sleepiness and it achieves an accuracy of 97%. The model is lightweight hence it can be further deployed as a mobile application for various platforms.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""ML"", ""High Accuracy"", ""Behavioral""]}",10.32629/jai.v7i3.1117,,,
rayyan-243088526,"A survey on driver drowsiness detection using physiological, vehicular, and behavioral approaches",2022,6,1,Bulletin of Electrical Engineering and Informatics,"2302-9285, 2089-3191",11,3,1489-1496,"Gatea, Mustafa Kamel and Gharghan, Sadik Kamel and Ibrahim, Raed Khalid and Ali, Adnan Hussein",https://beei.org/index.php/EEI/article/view/3098,en,,,"Drowsiness is a significant reason for street mishaps and has huge ramifications for driver safety. A few lethal mishaps can be prohibited if the sleepy drivers are cautioned in time. There are a number of tiredness identification strategies that screen the drivers’ languor state while driving and caution unfocused drivers. Highlights may be gathered from outward appearances (e.g., yawning and eyes and head movement) to determine the degree of laziness. This paper presents a holistic investigation of current strategies for driver laziness discovery and gives an exploration of widely-used characterization procedures. We begin by organizing the current procedures into three categories: behavior, vehicular, and physiological boundaries-based procedures. Then, we survey top directed learning methods utilized for laziness discovery. Next, we examine the advantages and disadvantages of the various techniques. A similar examination indicated that none of these strategies is entirely precise. However, physiological boundaries-based procedures produce more exact outcomes than other types of procedures. Their non-intrusive nature may be decreased through utilizing remote sensors on various elements including the driver’s body, driver’s seat, seat covers, and steering wheel.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design",10.11591/eei.v11i3.3098,,,
rayyan-243088527,Integrating Attention Mechanisms and ResNet-50 For Enhanced Driver Sleepiness Detection,2025,3,7,Informatica,"1854-3871, 0350-5596",49,15,,"Huang, Zheng",https://www.informatica.si/index.php/informatica/article/view/7977,en,,,,"RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | USER-NOTES: {""AJAYI""=>[""No abstract"", ""Insufficient Info""]}",10.31449/inf.v49i15.7977,,,
rayyan-243088528,Fatigue and drowsiness detection using a support vector machine for traffic accident reduction,2024,,,,,1,1,,"Handayani, Lina and Nuraeni, Eneng and Arsadiando, Watra and Pamungkas, Anggis",,en,,,"Fatigue and drowsiness are major contributors to road safety issues, causing slower reactions, poor decision-making, and increased accidents. Support vector machine (SVM) can improve road safety by analyzing complex data sets and patterns related to driver behavior. When using features extracted from electrooculography signals to determine driver fatigue, SVM demonstrated high classification accuracy. This shows that it could be a useful tool in real-time fatigue detection systems. SVM's successful application in traffic accident reduction demonstrates its potential for improving road safety through predictive modeling and early warning systems. Integrating SVM algorithms into traffic accident prediction models enables the analysis of a wide range of factors, including road conditions, driver behavior, and vehicle characteristics, in order to identify potential risk factors and take proactive measures to avoid accidents. Studies have shown that SVM-based systems can predict accidents with high accuracy, resulting in timely interventions and, ultimately, fewer road fatalities and injuries. In conclusion, using SVM to detect driver fatigue and drowsiness is critical for increasing road safety. Future research should focus on improving the system's accuracy and real-time capabilities, incorporating advanced machine learning algorithms, and developing adaptive SVM models that constantly learn and update their parameters based on real-time data.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Article designed ML method used but no experimental report"", ""Excluded - theoretical study""]}",,,,
rayyan-243088529,Ensemble-based machine learning models for vehicle drivers’ fatigue state detection utilizing EEG signals,2024,,,Facta universitatis - series: Electronics and Energetics,"0353-3670, 2217-5997",37,4,671-686,"Hasan, Md. and Islam, Md. and Khandaker, Sayma and Sulaiman, Norizam and Islam, Ashraful and Hossain, Mirza",https://doiserbia.nb.rs/Article.aspx?ID=0353-36702404671H,en,,,"Currently, there is a great extent of academic research focused on evaluating fatigue among drivers due to its growing recognition as a major contributor to vehicle tragedies. Combining advanced features and machine learning techniques, signals from the electroencephalogram (EEG) can be analyzed to efficiently detect fatigue in the shortest possible time. This study presents an innovative approach to detect driver fatigue states utilizing ensemble-based machine learning techniques from EEG signals. Two ensemble models (Ensemble-based RUSBoosted Decision Trees and Ensemblebased Random Subspace Discriminant) were applied and compared. The study utilized an online EEG dataset of 12 individuals, with data collected during normal and fatigued driving conditions and Fast Fourier Transform was applied for feature extraction. The Ensemble-based RUSBoosted Decision Trees model achieved superior performance with 98.53% classification accuracy, compared to 83.13% for the Random Subspace Discriminant model. Multiple performance metrics were used for evaluation model performance. Finally, the proposed Ensemble-based RUSBoosted Decision Trees model outperformed Ensemble-based Random Subspace Discriminant model and existing conventional methods for fatigue state detection. This research contributes to the development of more accurate and reliable fatigue detection systems, which could potentially improve road safety by identifying fatigued drivers in real-time.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""ML"", ""High Accuracy""]}",10.2298/FUEE2404671H,,,
rayyan-243088530,YawDD: a yawning detection dataset,2014,3,19,MMSys '14: Multimedia Systems Conference 2014,978-1-4503-2705-3,,,24-28,"Abtahi, Shabnam and Omidyeganeh, Mona and Shirmohammadi, Shervin and Hariri, Behnoosh",https://dl.acm.org/doi/10.1145/2557642.2563678,en,ACM,,"In this paper, we present two video datasets of drivers with various facial characteristics, to be used for designing and testing algorithms and models for yawning detection. For collecting these videos, male and female candidates were asked to sit in the driver's seat of a car. The videos are taken in real and varying illumination conditions. In the first dataset, the camera is installed under the front mirror of the car. Each participant has three or four videos and each video contains different mouth conditions such as normal, talking/singing, and yawning. In the second dataset, the camera is installed on the dash in front of the driver, and each participant has one video with the above-mentioned different mouth conditions all in the same video. The car was parked for both datasets to keep the environment safe for the participants. As a benchmark, we also present the results of our own yawning detection method, and show that we can achieve a much higher accuracy in the scenario with the camera installed on the dash in front of the driver.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Article report model method used but no experimental report""]}",10.1145/2557642.2563678,,,
